"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-06-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",26.94,"provisorisch"
"2023-06-11T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",23.12,"provisorisch"
"2023-06-11T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-11T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",966.05,"provisorisch"
"2023-06-11T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",27.42,"provisorisch"
"2023-06-11T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",22.41,"provisorisch"
"2023-06-11T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-11T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",963.73,"provisorisch"
"2023-06-11T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",26.84,"provisorisch"
"2023-06-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",22.41,"provisorisch"
"2023-06-12T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.49,"provisorisch"
"2023-06-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",353.3,"provisorisch"
"2023-06-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",26.79,"provisorisch"
"2023-06-12T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",22.78,"provisorisch"
"2023-06-12T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-12T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",964.87,"provisorisch"
"2023-06-12T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",27.44,"provisorisch"
"2023-06-12T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",21.92,"provisorisch"
"2023-06-12T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",2.43,"provisorisch"
"2023-06-12T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",962.61,"provisorisch"
"2023-06-12T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",26.68,"provisorisch"
"2023-06-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",21.15,"provisorisch"
"2023-06-13T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",960.04,"provisorisch"
"2023-06-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",355.04,"provisorisch"
"2023-06-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",25.58,"provisorisch"
"2023-06-13T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",21.38,"provisorisch"
"2023-06-13T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-13T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",962.44,"provisorisch"
"2023-06-13T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",25.65,"provisorisch"
"2023-06-13T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",20.61,"provisorisch"
"2023-06-13T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-13T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",960.15,"provisorisch"
"2023-06-13T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",25.31,"provisorisch"
"2023-06-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",21.24,"provisorisch"
"2023-06-14T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.06,"provisorisch"
"2023-06-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",358.61,"provisorisch"
"2023-06-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",25.87,"provisorisch"
"2023-06-14T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",21.64,"provisorisch"
"2023-06-14T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-14T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",964.5,"provisorisch"
"2023-06-14T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",26.25,"provisorisch"
"2023-06-14T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",20.67,"provisorisch"
"2023-06-14T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-14T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",962.19,"provisorisch"
"2023-06-14T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",25.76,"provisorisch"
"2023-06-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",21.38,"provisorisch"
"2023-06-15T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.76,"provisorisch"
"2023-06-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",281.39,"provisorisch"
"2023-06-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",25.5,"provisorisch"
"2023-06-15T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",21.87,"provisorisch"
"2023-06-15T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-15T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",968.16,"provisorisch"
"2023-06-15T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",26.18,"provisorisch"
"2023-06-15T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",20.88,"provisorisch"
"2023-06-15T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-15T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",965.89,"provisorisch"
