"id","lokalisationsname","messwert_von","messwert_bis","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid"
"2955","Bucheggstrasse","3993.80200000","4024.23500000","T50","T50","","","","","","6781"
"2960","Tunnelstrasse","357.99700000","416.47400000","T50","T50","","","","","","6782"
"2968","Kopfweidenplatz","0.00000000","1.37600000","Fahrverbot","T0","","","","","","6783"
"2972","Nansenstrasse","203.02400000","262.05400000","T30","T30","20141111000000","","","","","6784"
"2980","Klosterfeldweg","0.00000000","41.17700000","Fahrverbot","T0","","","","","","6785"
"1760","Doktor-Faust-Gasse","0.00000000","86.40200000","Fahrverbot","T0","","","","","","6786"
"1767","Abeggweg","0.00000000","94.55200000","Fahrverbot","T0","","","","","","6787"
"1768","Fehrenstrasse","151.96000000","214.18300000","Fahrverbot","T0","","","","","","6788"
"1783","Bullingerhof","0.00000000","325.92800000","Fahrverbot","T0","","","","","","6789"
"1785","Lerchenrain","210.00000000","306.60200000","Fahrverbot","T0","","","","","","6790"
"1788","Looächeranlage","462.85000000","478.01100000","Fahrverbot","T0","","","","","","6791"
"1797","Markusstrasse","0.00000000","140.20300000","T30","T30","","","","","","6792"
"1801","Kempterstrasse","0.00000000","125.02500000","T30","T30","","","","","","6793"
"1804","Drahtschmidlisteg","0.00000000","78.69000000","Fahrverbot","T0","","","","","","6794"
"1817","Schwamendingerplatz","87.88600000","103.75300000","T30","T30","","","","","","6795"
"1818","Engadinerweg","284.24900000","384.81300000","T30","T30","","","","","","6796"
"1822","Birmensdorferstrasse","688.40200000","838.06200000","Fahrverbot","T0","","","","","","6797"
"1829","Felsenrainstrasse","708.77600000","732.23900000","T20","T20","","","","","","6798"
"714","Oberer Bodenweg","183.10600000","222.00200000","Fahrverbot","T0","","","","","","6799"
"716","Oberscheunenweg","0.00000000","352.47200000","Fahrverbot","T0","","","","","","6800"
"718","Andreaspark","0.00000000","145.33800000","Fahrverbot","T0","","","","","","6801"
"728","Langfurren","0.00000000","291.16000000","T30","T30","","","","","","6802"
"732","Uetliberghalde","0.00000000","136.58800000","T30","T30","","","","","","6803"
"742","Hallwylplatz","193.18500000","205.57300000","Fahrverbot","T0","","","","","","6804"
"750","Salzweg","0.00000000","127.25400000","Fahrverbot","T0","","","","","","6805"
"756","Vetterliweg","0.00000000","196.31900000","Fahrverbot","T0","","","","","","6806"
"759","Ampèresteg","0.00000000","83.63100000","Fahrverbot","T0","","","","","","6807"
"770","Hechtplatz","0.00000000","55.68300000","Fahrverbot","T0","","","","","","6808"
"779","Giblenstrasse","109.67400000","219.78900000","Fahrverbot","T0","","","","","","6809"
"787","Grossalbis","190.91500000","346.52200000","Fahrverbot","T0","","","","","","6810"
"793","Gubelplatz","33.59300000","104.84900000","T30","T30","","","","","","6811"
"800","Oetenbachgasse","0.00000000","47.15600000","Fahrverbot","T0","","","","","","6812"
"807","Bleicherweg","0.00000000","67.14100000","T30","T30","20170725000000","","","","","6813"
"815","Ceresstrasse","87.74700000","198.41000000","T30","T30","","","","","","6814"
"818","Erismannhof","177.83800000","183.85700000","Fahrverbot","T0","","","","","","6815"
"823","Hardeggsteg","0.00000000","81.50800000","Fahrverbot","T0","","","","","","6816"
"837","Enzianweg","0.00000000","92.15300000","T30","T30","","","","","","6817"
"838","Bärenbrüggli","0.00000000","46.49400000","Fahrverbot","T0","","","","","","6818"
"844","Ernst-Nobs-Platz","161.21500000","211.07600000","T50","T50","","","","","","6819"
"849","Fehrenstrasse","0.00000000","151.96000000","T30","T30","","","","","","6820"
"856","Mittagweg","0.00000000","38.00000000","T30","T30","","","","","","6821"
"858","Moosgutstrasse","0.00000000","302.16800000","T50","T50","","","","","","6822"
"859","Riedgrabenweg","0.00000000","169.47800000","Fahrverbot","T0","","","","","","6823"
"862","Riesbachstrasse","0.00000000","44.07900000","T30","T30","","","","","","6824"
"863","Giacomettistrasse","0.00000000","346.56400000","T30","T30","","","","","","6825"
"873","Rudenzweg","148.21600000","264.11700000","T20","T20","","","","","","6826"
"885","Stüssistrasse","447.71600000","538.72300000","T30","T30","","","","","","6827"
"889","Stotzweg","188.94300000","197.91000000","Fahrverbot","T0","","","","","","6828"
"892","Albin-Zollinger-Platz","0.00000000","26.66500000","Fahrverbot","T0","","","","","","6829"
