,Unnamed: 0.1,Datum,TotalDailyTraffic,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,PM2.5,CO,SO2,PN,RainDur,T,T_max_h1,p,StrGlo,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,1.5km_green,1km_green,500m_green,200m_green,1.5km_trees,1km_trees,500m_trees,200m_trees,WD,WVv,WVs,Hr,NO2_tomorrow
15,15,2012-01-16,13953.0,Zch_Stampfenbachstrasse,34.0,45.21,50.9,18.78,38.51,0.0,19.71,,0.49,3.14,,0.0,-1.11,1.48,971.73,82.47,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,50.42333333333334,1.7070833333333333,1.7220833333333332,66.80875,67.34
16,16,2012-01-17,14800.0,Zch_Stampfenbachstrasse,85.47,67.34,103.74,5.61,25.09,0.0,41.36,,0.77,6.07,,0.0,-0.82,3.23,977.65,80.28,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,111.32583333333334,0.9295833333333333,0.96125,71.47666666666667,82.65
17,17,2012-01-18,15243.0,Zch_Stampfenbachstrasse,127.78,82.65,145.67,3.19,10.56,0.0,57.9,,1.01,8.33,,0.0,0.49,4.83,979.94,85.08,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,178.53833333333333,0.8304166666666667,0.8654166666666666,73.39166666666667,38.42
18,18,2012-01-19,15087.0,Zch_Stampfenbachstrasse,17.35,38.42,34.0,31.85,52.74,0.0,20.91,,0.36,5.67,,324.95,6.63,9.87,975.4,15.18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,255.21,3.2733333333333334,3.31375,66.84875,14.97
19,19,2012-01-20,15491.0,Zch_Stampfenbachstrasse,2.64,14.97,9.94,57.98,64.93,0.0,6.68,,0.2,1.88,,810.85,5.34,8.03,968.42,37.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,259.06666666666666,4.710833333333333,4.735416666666667,80.17833333333333,11.27
20,20,2012-01-21,10982.0,Zch_Stampfenbachstrasse,1.57,11.27,7.15,52.82,60.54,0.0,2.79,,0.21,1.36,,691.18,6.21,9.1,966.5,19.56,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,251.78708333333336,4.8429166666666665,4.846666666666667,82.53916666666667,7.65
21,21,2012-01-22,9033.0,Zch_Stampfenbachstrasse,1.17,7.65,4.94,61.24,70.25,0.0,2.22,,0.19,1.49,,255.23,7.66,8.92,965.19,46.11,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,259.42958333333337,4.247083333333333,4.260416666666667,73.67416666666666,24.02
22,22,2012-01-23,14062.0,Zch_Stampfenbachstrasse,5.19,24.02,16.72,45.78,64.62,0.0,9.67,,0.25,1.57,,272.55,6.62,7.47,967.53,22.83,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,262.5704166666667,2.38875,2.40625,73.05041666666666,34.77
23,23,2012-01-24,14860.0,Zch_Stampfenbachstrasse,12.89,34.77,28.52,36.12,57.22,0.0,11.8,,0.32,1.72,,373.22,4.25,5.25,969.9,62.57,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,234.72541666666666,1.8008333333333333,1.8320833333333333,77.38000000000001,45.26
24,24,2012-01-25,15539.0,Zch_Stampfenbachstrasse,24.4,45.26,43.23,25.73,50.72,0.0,13.55,,0.4,1.8,,564.17,3.04,3.7,969.76,19.03,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,157.51416666666668,1.1229166666666666,1.1383333333333334,86.13875,44.96
25,25,2012-01-26,15948.0,Zch_Stampfenbachstrasse,36.6,44.96,52.86,8.07,20.39,0.0,30.08,,0.51,2.25,,0.77,3.15,5.17,967.56,23.28,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,63.89416666666667,2.017916666666667,2.0220833333333332,81.18541666666667,46.77
26,26,2012-01-27,16330.0,Zch_Stampfenbachstrasse,50.93,46.77,65.28,9.47,28.99,0.0,20.71,,0.54,2.36,,1121.32,4.11,5.07,971.04,13.82,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,120.82291666666667,1.3670833333333334,1.3816666666666666,89.38499999999999,34.86
27,27,2012-01-28,12274.0,Zch_Stampfenbachstrasse,12.53,34.86,28.27,32.04,48.03,0.0,8.48,,0.36,2.01,,833.02,2.12,3.48,972.97,32.79,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,93.64208333333333,1.63875,1.6449999999999998,90.22416666666668,22.09
28,28,2012-01-29,9341.0,Zch_Stampfenbachstrasse,8.41,22.09,18.29,21.6,43.51,0.0,32.9,,0.47,1.95,,0.02,0.72,1.73,969.99,20.62,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,46.88375,3.401666666666667,3.405,83.27625,48.18
